timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674296998452,1308,/topup,200,OK,Distributed Load Test 1-2,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,1052,0,690
1674296999765,355,/dicovery-diskon,200,OK,Distributed Load Test 1-2,text,true,,19156,179,1,1,https://api-staging-builder.engineer.ai/configurations,342,0,0
1674297000125,337,/dicovery-personalized-ads,200,OK,Distributed Load Test 1-2,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,323,0,0
1674297000463,327,/official-store,200,OK,Distributed Load Test 1-2,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,313,0,0
1674297000792,339,/list-product,200,OK,Distributed Load Test 1-2,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,322,0,0
1674297001131,308,/list-merchant,200,OK,Distributed Load Test 1-2,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,305,0,0
1674297000372,1147,/topup,200,OK,Distributed Load Test 1-4,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,884,0,547
1674297001441,340,/detail-product,200,OK,Distributed Load Test 1-2,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,326,0,0
1674297001520,341,/dicovery-diskon,200,OK,Distributed Load Test 1-4,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,325,0,0
1674297001782,327,/promo,200,OK,Distributed Load Test 1-2,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,310,0,0
1674297001862,348,/dicovery-personalized-ads,200,OK,Distributed Load Test 1-4,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,334,0,0
1674297002111,360,/review-product,200,OK,Distributed Load Test 1-2,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,348,0,0
1674297002211,320,/official-store,200,OK,Distributed Load Test 1-4,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,300,0,0
1674297002471,328,/discussion,200,OK,Distributed Load Test 1-2,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,320,0,0
1674297002800,341,/merchant/product,200,OK,Distributed Load Test 1-2,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,333,0,0
1674297002371,1104,/topup,200,OK,Distributed Load Test 1-6,text,true,,19162,179,1,1,https://api-staging-builder.engineer.ai/configurations,842,0,523
1674297003476,322,/dicovery-diskon,200,OK,Distributed Load Test 1-6,text,true,,19156,179,1,1,https://api-staging-builder.engineer.ai/configurations,308,0,0
1674297003800,340,/dicovery-personalized-ads,200,OK,Distributed Load Test 1-6,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,322,0,0
1674297004141,338,/official-store,200,OK,Distributed Load Test 1-6,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,318,0,0
1674297004481,339,/list-product,200,OK,Distributed Load Test 1-6,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,322,0,0
1674297004821,319,/list-merchant,200,OK,Distributed Load Test 1-6,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,305,0,0
1674297004370,1079,/topup,200,OK,Distributed Load Test 1-8,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,826,0,522
